=============================================
SUBPROBLEM 1 OUTPUT
n_requests=20  n_vehicles=20  n_terminals=80  n_nodes=140  n_references=120
=============================================

[NODES]
id	x	y	TWl	TWu	serv	type	actual
0	8.435	8.683	94	120	1	0	26
1	10.391	9.073	103	128	3	0	22
2	11.081	-12.668	120	138	3	0	86
3	4.421	13.315	118	138	1	0	38
4	-15.732	9.873	106	134	3	0	112
5	-6.608	10.004	117	139	1	0	110
6	12.014	7.809	124	142	1	0	16
7	9.564	-10.483	125	146	1	0	66
8	-8.972	-10.889	132	150	1	0	166
9	9.84	-13.676	122	148	1	0	98
10	-8.158	-13.919	120	147	1	0	160
11	11.083	6.195	135	154	3	0	40
12	9.346	10.477	130	155	1	0	12
13	-8.815	4.089	142	164	3	0	130
14	9.949	12.263	139	164	1	0	32
15	-4.927	6.703	139	164	1	0	116
16	-10.701	-13.545	153	170	1	0	174
17	-11.618	8.587	138	165	1	0	144
18	10.591	-10.317	134	163	3	0	62
19	15.227	-13.845	172	189	1	0	70
20	14.828	-10.714	125	140	1	1	226
21	5.943	-7.742	130	145	3	1	222
22	6.78	-11.392	127	142	3	1	286
23	13.067	12.792	131	146	1	1	238
24	7.172	10.889	141	156	3	1	312
25	5.095	13.772	136	151	1	1	310
26	8.059	8.681	131	146	1	1	216
27	6.098	-1.692	140	155	1	1	266
28	-4.529	-9.483	139	154	1	1	366
29	5.027	6.257	153	168	1	1	298
30	9.435	1.329	155	170	1	1	360
31	8.305	11.663	145	160	3	1	240
32	-9.89	11.709	159	174	1	1	212
33	-17.898	11.542	160	175	3	1	330
34	-7.271	15.481	166	181	1	1	232
35	-10.043	-10.358	166	181	1	1	316
36	-8.202	-15.454	158	173	1	1	374
37	9.049	7.567	170	185	1	1	344
38	-9.772	7.442	175	190	3	1	262
39	15.679	-14.608	174	189	1	1	270
40	-20	-10	47	720	1	2	441
41	6.66	8.487	117	720	3	2	210
42	10	10	0	720	0	2	402
43	10	10	0	720	0	2	403
44	10	10	0	720	0	2	404
45	14.828	-10.714	127.59	720	1	2	226
46	10	-10	0	720	0	2	406
47	10.212	-2.947	109.585	720	3	2	288
48	10	-10	0	720	0	2	408
49	10	-10	0	720	0	2	409
50	7.551	-7.605	122.032	720	1	2	296
51	-10	10	0	720	0	2	411
